team1,team2,toss_winner,winner,venue,match_type,season
Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Lucknow Super Giants,Bengaluru,League,2024
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Visakhapatnam,League,2024
Gujarat Titans,Punjab Kings,Punjab Kings,Punjab Kings,Ahmedabad,League,2024
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2024
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2024
Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Lucknow,League,2024
Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,Mumbai,League,2024
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2024
Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Sunrisers Hyderabad,Mohali,League,2024
Rajasthan Royals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Jaipur,League,2024
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2024
Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,Lucknow,League,2024
Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Mohali,League,2024
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,Mumbai,League,2024
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2024
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Bengaluru,League,2024
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Kolkata,League,2024
Gujarat Titans,Delhi Capitals,Delhi Capitals,Delhi Capitals,Ahmedabad,League,2024
Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,Mohali,League,2024
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Lucknow,League,2024
Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,Delhi,League,2024
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata,League,2024
Punjab Kings,Gujarat Titans,Punjab Kings,Gujarat Titans,Mohali,League,2024
Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Jaipur,League,2024
Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Chennai,League,2024
Delhi Capitals,Gujarat Titans,Gujarat Titans,Delhi Capitals,Delhi,League,2024
Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Hyderabad,League,2024
Kolkata Knight Riders,Punjab Kings,Punjab Kings,Punjab Kings,Kolkata,League,2024
Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Lucknow,League,2024
Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,Delhi,League,2024
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,Chennai,League,2024
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Ahmedabad,League,2024
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Kolkata,League,2024
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Lucknow,League,2024
Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,Chennai,League,2024
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Hyderabad,League,2024
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Mumbai,League,2024
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bengaluru,League,2024
Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,Kolkata Knight Riders,Lucknow,League,2024
Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,Dharamsala,League,2024
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2024
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,Delhi,League,2024
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,Hyderabad,League,2024
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru,Dharamsala,League,2024
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Gujarat Titans,Ahmedabad,League,2024
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,Kolkata,League,2024
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Royal Challengers Bengaluru,Bengaluru,League,2024
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Chennai,League,2024
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,Delhi,League,2024
Rajasthan Royals,Punjab Kings,Rajasthan Royals,Punjab Kings,Guwahati,League,2024
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Mumbai,League,2024
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Bengaluru,League,2024
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Hyderabad,League,2024
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Ahmedabad,Qualifier,2024
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Ahmedabad,Eliminator,2024
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Chennai,Qualifier,2024
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Chennai,Final,2024
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata,League,2025
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Chennai,League,2025
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,League,2025
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Delhi Capitals,Visakhapatnam,League,2025
Punjab Kings,Gujarat Titans,Gujarat Titans,Punjab Kings,Ahmedabad,League,2025
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Guwahati,League,2025
Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Hyderabad,League,2025
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Chennai,League,2025
Gujarat Titans,Mumbai Indians,Mumbai Indians,Gujarat Titans,Ahmedabad,League,2025
Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Visakhapatnam,League,2025
Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,Guwahati,League,2025
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2025
Lucknow Super Giants,Punjab Kings,Punjab Kings,Punjab Kings,Lucknow,League,2025
Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans,Gujarat Titans,Bengaluru,League,2025
Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,League,2025
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,Lucknow Super Giants,Lucknow,League,2025
Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,Mohali,League,2025
Delhi Capitals,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Chennai,League,2025
Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,Gujarat Titans,Hyderabad,League,2025
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Royal Challengers Bengaluru,Mumbai,League,2025
Punjab Kings,Chennai Super Kings,Punjab Kings,Punjab Kings,Mohali,League,2025
Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,Lucknow Super Giants,Kolkata,League,2025
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Gujarat Titans,Ahmedabad,League,2025
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Delhi Capitals,Bengaluru,League,2025
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Chennai,League,2025
Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants,Lucknow,League,2025
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Hyderabad,League,2025
Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Jaipur,League,2025
Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,Delhi,League,2025
Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,Lucknow,League,2025
Punjab Kings,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Mohali,League,2025
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,,Delhi,League,2025
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2025
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Punjab Kings,Bengaluru,League,2025
Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Ahmedabad,League,2025
Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Jaipur,League,2025
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Mohali,League,2025
Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,League,2025
Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,Gujarat Titans,Kolkata,League,2025
Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Delhi Capitals,Lucknow,League,2025
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Mumbai Indians,Hyderabad,League,2025
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bengaluru,Bengaluru,League,2025
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai,League,2025
Punjab Kings,Kolkata Knight Riders,Punjab Kings,,Kolkata,League,2025
Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Mumbai Indians,Mumbai,League,2025
Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Delhi,League,2025
Gujarat Titans,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2025
Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Kolkata Knight Riders,Delhi,League,2025
Chennai Super Kings,Punjab Kings,Punjab Kings,Punjab Kings,Chennai,League,2025
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Mumbai Indians,Jaipur,League,2025
Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Gujarat Titans,Ahmedabad,League,2025
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bengaluru,Bengaluru,League,2025
Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,Punjab Kings,Dharamsala,League,2025
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2025
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,,Hyderabad,League,2025
Mumbai Indians,Gujarat Titans,Gujarat Titans,Gujarat Titans,Mumbai,League,2025
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Kolkata,League,2025
Punjab Kings,Delhi Capitals,Punjab Kings,,Dharamsala,League,2025
Delhi Capitals,Gujarat Titans,Gujarat Titans,Gujarat Titans,Delhi,League,2025
Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,Jaipur,League,2025
Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow,League,2025
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Delhi,League,2025
Mumbai Indians,Delhi Capitals,Delhi Capitals,Mumbai Indians,Mumbai,League,2025
Lucknow Super Giants,Gujarat Titans,Gujarat Titans,Lucknow Super Giants,Ahmedabad,League,2025
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Sunrisers Hyderabad,Lucknow,League,2025
Punjab Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,Jaipur,League,2025
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi,League,2025
Chennai Super Kings,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,Ahmedabad,League,2025
Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,Jaipur,League,2025
Lucknow Super Giants,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Lucknow,League,2025
Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Chandigarh,Qualifier,2025
Mumbai Indians,Gujarat Titans,Mumbai Indians,Mumbai Indians,Chandigarh,Eliminator,2025
Mumbai Indians,Punjab Kings,Punjab Kings,Punjab Kings,Ahmedabad,Qualifier,2025
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Royal Challengers Bengaluru,Ahmedabad,Final,2025
