team1,team2,toss_winner,winner,venue,match_type,season
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Mumbai,Semi Final,2010
Chennai Super Kings,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,Mumbai,Semi Final,2010
Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,Royal Challengers Bengaluru,Mumbai,3rd Place Play-Off,2010
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai,Final,2010
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai,League,2011
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,Hyderabad,League,2011
Kochi Tuskers Kerala,Royal Challengers Bengaluru,Kochi Tuskers Kerala,Royal Challengers Bengaluru,Kochi,League,2011
Delhi Daredevils,Mumbai Indians,Delhi Daredevils,Mumbai Indians,Delhi,League,2011
Pune Warriors,Kings XI Punjab,Kings XI Punjab,Pune Warriors,Mumbai,League,2011
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2011
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Mumbai Indians,Bengaluru,League,2011
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Rajasthan Royals,Jaipur,League,2011
Pune Warriors,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Pune Warriors,Mumbai,League,2011
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Chandigarh,League,2011
Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,Hyderabad,League,2011
Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Mumbai,League,2011
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,Jaipur,League,2011
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Chennai,League,2011
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Kings XI Punjab,Hyderabad,League,2011
Pune Warriors,Delhi Daredevils,Delhi Daredevils,Delhi Daredevils,Mumbai,League,2011
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata,League,2011
Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Kochi,League,2011
Delhi Daredevils,Deccan Chargers,Deccan Chargers,Deccan Chargers,Delhi,League,2011
Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,Kolkata,League,2011
Mumbai Indians,Pune Warriors,Pune Warriors,Mumbai Indians,Mumbai,League,2011
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,Kings XI Punjab,Chandigarh,League,2011
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Mumbai Indians,Mumbai,League,2011
Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Kolkata,League,2011
Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,Delhi Daredevils,Delhi,League,2011
Deccan Chargers,Mumbai Indians,Deccan Chargers,Mumbai Indians,Hyderabad,League,2011
Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,Jaipur,League,2011
